rank,cupituber,subscribers,video_views,video_count,category,started,country,monetization_type,description
1,T-Series,222000000,198459090822,17317,Music,2006-11-15,India,AdSense,bEST UnBOxInG ViDEos!
2,YouTube Movies(,154000000,0,0,Film & Animation,2015-08-18,USA,Super Chat,A gREAT pLACE To wAtCh FIlmS.
3,Cocomelon - Nursery Rhymes,140000000,135481339848,786,Education,2006-11-25,USA,Super Chat,bEST UnBOxInG ViDEos!
4,SET India,139000000,125764252686,91271,Shows,2006-11-17,India,AdSense,aMAZING trAvel vlogs wOrldWide!
5,@PewDiePie,111000000,28469458228,4497,Gaming,2010-06-03,Sweden,Sponsorship,yOU woN'T beLieve tHEse prankS!
6,Mr*Beast,102000000,16832456681,726,Entertainment,2012-08-10,USA,Membership,bEST UnBOxInG ViDEos!
7,Kids Diana Show,99700000,79602288245,1009,People & Blogs,2015-03-17,Ukraine,Membership,MaSTERing HTML and CSS foR YoUR WebSiTE!
8,Like Nastya,99200000,81963845811,702,People & Blogs,2016-03-12,Russia,Crowdfunding,uNderground Hip-Hop and Music trends!
9,WWE,90200000,70544743313,63077,Sports,2007-07-26,USA,AdSense,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
10,Zee Music Company,86700000,49067711243,6603,Music,2014-12-07,India,Merchandising,wEird fActs aND ExPERiments!
11,Vlad ^and Niki,85100000,66498762660,472,Entertainment,2018-12-12,Russia,Crowdfunding,NexT-GEn AI breAkThroughS ShaPINg oUr World!
12,5-Minut;e Crafts,77100000,23881457195,5581,Howto & Style,2016-08-22,Cyprus,Crowdfunding,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
13,BLACKPINK,76200000,24707415704,397,People & Blogs,2016-01-18,South Korea,Sponsorship,InSIDeR lOOk at a VIP YouTube CreatOR!
14,Goldmines*,74100000,18533088438,3968,Film & Animation,2012-08-25,India,Crowdfunding,bEST UnBOxInG ViDEos!
15,Sony SAB,70600000,82473581441,56295,Shows,2007-10-13,India,Super Chat,LiVe sTREams aBout gAming!
16,BANGTANTV,70000000,17471090750,1787,Music,2012-07-28,South Korea,Membership,InSIDeR lOOk at a VIP YouTube CreatOR!
17,J ustin Bieber,69700000,28567240999,247,Music,2007-02-05,Canada,AdSense,fOLLow for daiLY VLOGS!
18,HYBE LA BELS,67800000,24013849120,971,Music,2008-01-14,Brazil,Sponsorship,TeCH REVIEWS and more!
19,Canal KondZilla,65900000,36576704790,2313,Music,2012-12-07,India,Crowdfunding,MaSTERing HTML and CSS foR YoUR WebSiTE!
20,Z?ee TV,63000000,17111576122,60802,Entertainment,2005-05-24,India,Membership,eXpLoRINg the WonDERs of AI AnD NASA!
21,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010-01-03,South Korea,Super Chat,LiVe sTREams aBout gAming!
22,Pinkfong Baby Shark - Kids' Songs & Stories,59400000,32107290522,2374,Education,2011-03-22,USA,Merchandising,wEird fActs aND ExPERiments!
23,Du(de Perfect,58100000,14742860905,297,Sports,2009-10-21,USA,Sponsorship,eXpLoRINg the WonDERs of AI AnD NASA!
24,ChuChu TV N<ursery Rhymes & Kids Songs,57700000,39266652127,506,Education,2013-02-07,India,Merchandising,VIP aCCeSS To ThE LatESt NBA HighLighTS!
25,Movieclips,57600000,58839819120,39202,Film & Animation,2006-07-04,USA,Super Chat,LeaRn tO cOOk dELicious Meals!
26,Marshmello,55700000,13445424556,401,Entertainment,2015-05-11,USA,Crowdfunding,yOU woN'T beLieve tHEse prankS!
27,Co$lors TV,55100000,52611504230,87427,Shows,2008-02-28,India,Membership,GaMiNG Content fOr everyOne!
28,Wa.ve Music,53400000,37230876862,18622,Music,2014-08-19,India,Membership,hILaRiOuS comEdy skEtches!
29,EminemM usic,53000000,23717869724,140,Music,2007-09-27,USA,Membership,hOrrOR stories thAt will sCARE you!
30,Aaj Tak,52900000,20204939173,196497,News & Politics,2009-12-07,India,Merchandising,tHe bEst MUSIC chAnNeL EVER!
31,Tips Official,52800000,27883080973,3612,Music,2007-01-18,India,Crowdfunding,TeCH REVIEWS and more!
32,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011-07-11,India,Sponsorship,GaMiNG Content fOr everyOne!
33,Sony Music India,52400000,24856641898,3180,Music,2009-06-01,India,Sponsorship,GaMiNG Content fOr everyOne!
34,Ed Sheeran,52200000,27881781761,253,Music,2006-07-11,UK,Super Chat,NexT-GEn AI breAkThroughS ShaPINg oUr World!
35,El Rein_o Infantil,51700000,49895247456,1309,Music,2011-06-14,Argentina,Merchandising,NexT-GEn AI breAkThroughS ShaPINg oUr World!
36,Ariana Grande,51600000,22158094076,146,Music,2007-05-28,USA,Merchandising,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
37,LooL#oo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014-07-13,Argentina,Merchandising,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
38,]YRF,47600000,29366788406,3289,Film & Animation,2006-10-13,India,Merchandising,fUNnY Memes and REactions!
39,Taylor Swi*ft,47100000,25563795998,189,Music,2006-05-18,Poland,AdSense,hOrrOR stories thAt will sCARE you!
40,Billie Eilish/,46200000,11999349578,48,Music,2013-08-26,Sweden,Sponsorship,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
41,JuegaGerman,46100000,13698034536,1959,Gaming,2013-11-18,USA,Merchandising,tHe bEst MUSIC chAnNeL EVER!
42,BillionSurpriseToys - English Kids Songs & Cartoon,45700000,8590657189,648,Education,2013-09-24,Saudi Arabia,AdSense,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
43,Infobells - Hindi,45600000,25635591765,476,Education,2014-06-22,Poland,Super Chat,eXpLoRINg the WonDERs of AI AnD NASA!
44,Bada%bun,45600000,18567925780,13814,Entertainment,2014-01-02,Australia,Crowdfunding,NASA AND AI: ThE FuTURE of spACe exploratION!
45,Fernanf.loo,45100000,9966728650,541,Gaming,2011-02-13,Thailand,Membership,LiVe sTREams aBout gAming!
46,Felipe Neto,44300000,15475571879,3512,Entertainment,2006-07-27,Spain,Crowdfunding,A gREAT pLACE To wAtCh FIlmS.
47,BRIGHT SIDE,43900000,10058536263,4540,Howto & Style,2017-01-11,Russia,Sponsorship,THe RiSe of HTML AnD CSS IN ModeRN deSiGN!
48,whinderssonn!unes,43900000,4120078906,521,Comedy,2013-05-11,Indonesia,AdSense,hOrrOR stories thAt will sCARE you!
49,Você Sabia?',43300000,7284075395,1315,Entertainment,2013-01-05,Mexico,AdSense,fUNnY Memes and REactions!
50,HolaSo*yGerman.,43300000,4735959546,136,Entertainment,2011-01-05,Indonesia,Crowdfunding,ToP 5 TV sHowS EveRYonE Is WatcHINg right NoW!
51,Katy Pe(rry,43200000,23966278157,118,Music,2008-12-05,Argentina,Merchandising,wEird fActs aND ExPERiments!
52,Son(yMusicIndiaVEVO,42700000,23991411417,3309,Music,2009-11-26,Spain,Merchandising,tHe bEst MUSIC chAnNeL EVER!
53,Bad B.unny,42500000,23748805401,123,Music,2014-07-08,France,Sponsorship,BeHINd ThE ScENEs wiTH  A reAl TV CEO!
54,Alan Walker,42200000,11731228995,318,Music,2012-07-16,Spain,Membership,LiVe sTREams aBout gAming!
55,Like Nastya *Show,41500000,18745015002,599,Entertainment,2017-02-08,India,Super Chat,GaMiNG Content fOr everyOne!
56,Get Movies,41300000,28559341412,3963,Entertainment,2006-03-07,Netherlands,Sponsorship,hILaRiOuS comEdy skEtches!
57,>A4,41200000,16717234472,645,Gaming,2014-08-24,Netherlands,Super Chat,NASA AND AI: ThE FuTURE of spACe exploratION!
58,Speed@ Records,40800000,24558172214,10327,Music,2012-08-27,Indonesia,Merchandising,MaSTERing HTML and CSS foR YoUR WebSiTE!
59,ABS-CBN Enterta;inment,40600000,47544242811,179522,People & Blogs,2008-12-18,Argentina,AdSense,InSIDeR lOOk at a VIP YouTube CreatOR!
